Word,Meaning,Example_EN,Example_CN
abridge,??,The book was abridged for children,???????????
compendium,??/??,the Gardener's Compendium,??????
cursory,???/???,a cursory glance/look,????
curtail,??,to curtail your holiday/spending,?????????
syllabus,??,Which novels are on the syllabus this year?,???????????????
synopsis,??,,
terse,?????,"""Are you feeling any better?"" ""No!"" was the terse reply",?????????? ????????????
abrupt,??,an abrupt change/movement,???????
apace,??,The project is coming on apace,????????
headlong,??/??,"In the headlong rush to buy houses, many people got into debt",??????????????????
impetuous,??,He's so impetuous - why can't he think things over before he rushes into them?,??????????????????????????
precipitate,??/??,An invasion would certainly precipitate a political crisis,???????????
abet,??,His accountant had aided and abetted him in the fraud,???????????
advocate,??/??,She advocates taking a more long-term view,?????????????
ancillary,??,ancillary staff/workers,???????
bolster,??,More money is needed to bolster the industry,????????????
corroborate,??,Recent research seems to corroborate his theory,?????????????
countenance,??/??,He was of noble countenance / We will not give/lend countenance to any kind of terrorism / The school will not countenance bad behaviour,????????? / ?????????????? / ??????????
espouse,??,Vegetarianism is one cause she does not espouse,?????????
mainstay,??,Cattle farming is the mainstay of the country's economy,?????????????
munificent,??,A former student has donated a munificent sum of money to the college,????????????????
proponent,???,He is one of the leading proponents of capital punishment,????????????
stalwart,????/???,"Let me introduce Bob, one of the club's stalwarts",???????????????????
sustenance,??/??,"During this freezing weather, the food put out by householders is the only form of sustenance that the birds have",????????????????????????????
bilious,??/???,His shirt was a bilious shade of green / a bilious old man,?????????????? / ???????
dudgeon,?????,"After waiting an hour, he drove off in high dudgeon",?????????????????
irascible,??,She's becoming more and more irascible as she grows older,???????????????????
pettish,??/??,I felt ashamed at my pettish resentment,?????????????
petulant,??/??????,,
pique,??,"He stormed from the room in a fit of pique, shouting that he had been misunderstood",???????????????????
querulous,????,He became increasingly dissatisfied and querulous in his old age,???????????????
umbrage,??,Will she take umbrage if she isn't invited to the wedding?,????????????????
waspish,?????,She had a waspish tongue which could hurt,??????????
histrionic,????,She put on a histrionic display of grief at the funeral,??????????????
assuage,??,The government has tried to assuage the public's fears,???????????
augment,??,He would have to find work to augment his income,????????????????
inimical,??,Excessive managerial control is inimical to creative expression,?????????????
abstruse,??,an abstruse philosophical essay,???????
incinerate,??,to incinerate waste,?????
scanty,??,scanty evidence/information,?????????
lucid,??/??,She gave a clear and lucid account of her plans for the company's future,???????????????????
prosaic,??,If only she'd been called Camilla or Flavia instead of the prosaic Jane,?????????????????????????????????
spurn,?????,She spurned my offers of help,??????????
reticent,??,He is very reticent about his past,?????????
congenial,????/???,congenial company/surroundings,?????????????
brusque,??/??,His secretary was a little brusque with me,????????????
gregarious,???,"Emma's a gregarious, outgoing sort of person",???????????????
scurrilous,??/??,a scurrilous remark/attack/article,??????????
arcane,??/??,He was the only person who understood all the arcane details of the agreement,?????????????????????????
laud/laudatory,??,The German leadership lauded the Russian initiative,??????????????
deride,??,He derided my singing as pathetic,????????????
apathetic/apathy,??,Young people today are so apathetic about politics / voter apathy,???????????? / ???????
shrewdness,??,She was a woman of great courage and political shrewdness,???????????????????
dilettante,???,He's a bit of a dilettante as far as wine is concerned,??????????????????
fledgling,??????,The current economic climate is particularly difficult for fledgling businesses,????????????????????
neophyte,??,,
novitiate,????,,
proselyte,????,Moody was a Catholic proselyte,??????????
tyro,???,I look forward to seeing this young tyro's next ballet,?????????????????
burgeoning,????,The company hoped to profit from the burgeoning communications industry,?????????????????
